Titel,Autor,Jahr,Journal,Typ,DOI
virtual reality for information visualization might just work this time,"thomas, bh",2019,frontiers in robotics and ai,Article,10.3389/frobt.2019.00084
virtual reality head-mounted display for endoscopically-assisted implant surgery,"matsuo, a; hamada, h; oba, h; shibata, k",2018,british journal of oral & maxillofacial surgery,Article,10.1016/j.bjoms.2018.04.002
immersive virtual reality and the developing child,"bailey, jo; bailenson, jn",2017,cognitive development in digital contexts,Article; Book Chapter,10.1016/B978-0-12-809481-5.00009-2
virtual reality design: how upcoming head-mounted displays change design paradigms of virtual reality worlds,"stein, c",2016,media tropes,Article,0
a novel earthquake education system based on virtual reality,"gong, xl; liu, yj; jiao, y; wang, bj; zhou, jc; yu, hy",2015,ieice transactions on information and systems,Article,10.1587/transinf.2015EDP7165
multi-modal interface realization for scenario-based immersive virtual reality experience simulator,"youn, jh; cha, br; eun-seokkim; ji, yk",2015,asia life sciences,Article,0
virtual reality visual feedback for hand-controlled scanning probe microscopy manipulation of single molecules,"leinen, p; green, mfb; esat, t; wagner, c; tautz, fs; temirov, r",2015,beilstein journal of nanotechnology,Article,10.3762/bjnano.6.220
molecular rift: virtual reality for drug designers,"norrby, m; grebner, c; eriksson, j; bostrom, j",2015,journal of chemical information and modeling,Article,10.1021/acs.jcim.5b00544
on the validity of virtual reality-based auditory experiments: a case study about ratings of the overall listening experience,"schoeffler, m; gernert, jl; neumayer, m; westphal, s; herre, j",2015,virtual reality,Article,10.1007/s10055-015-0270-8
"cybersickness provoked by head-mounted display affects cutaneous vascular tone, heart rate and reaction time","nalivaiko, e; davis, sl; blackmore, kl; vakulin, a; nesbitt, kv",2015,physiology & behavior,Article,10.1016/j.physbeh.2015.08.043
visual and proprioceptive adaptation of arm position in a virtual environment,"masumoto, j; inui, n",2015,journal of motor behavior,Article,10.1080/00222895.2015.1015674
effects of displays on visually controlled task performance in three-dimensional virtual reality environment,"lin, cj; chen, hj; cheng, py; sun, tl",2015,human factors and ergonomics in manufacturing & service industries,Article,10.1002/hfm.20566
facial performance sensing head-mounted display,"li, h; trutoiu, l; olszewski, k; wei, ly; trutna, t; hsieh, pl; nicholls, a; ma, cy",2015,acm transactions on graphics,Article; Proceedings Paper,10.1145/2766939
treating small animal phobias using a projective-augmented reality system: a single-case study,"wrzesien, m; botella, c; breton-lopez, j; gonzalez, ed; burkhardt, jm; alcaniz, m; perez-ara, ma",2015,computers in human behavior,Article,10.1016/j.chb.2015.01.065
maintaining balance when looking at a virtual reality three-dimensional display of a field of moving dots or at a virtual reality scene,"chiarovano, e; de waele, c; macdougall, hg; rogers, sj; burgess, am; curthoys, is",2015,frontiers in neurology,Article,10.3389/fneur.2015.00164
virtual aquatic garden based on fish schooling simulation,"kim, jy; lee, wh",2015,asia life sciences,Article,0
user experience of interactive virtual aquarium contents using head-mounted display (hmd),"kim, jy; kim, ys",2015,asia life sciences,Article,0
rapid p300 brain-computer interface communication with a head-mounted display,"kathner, i; kubler, a; halder, s",2015,frontiers in neuroscience,Article,10.3389/fnins.2015.00207
posttraumatic stress disorder: possibilities for olfaction and virtual reality exposure therapy,"aiken, mp; berry, mj",2015,virtual reality,Article,10.1007/s10055-015-0260-x
towards an assistive peripheral visual prosthesis for long-term treatment of retinitis pigmentosa: evaluating mobility performance in immersive simulations,"zapf, mph; boon, my; matteucci, pb; lovell, nh; suaning, gj",2015,journal of neural engineering,Article,10.1088/1741-2560/12/3/036001
comparing the effectiveness of different displays in enhancing illusions of self-movement (vection),"riecke, be; jordan, jd",2015,frontiers in psychology,Article,10.3389/fpsyg.2015.00713
coordinated hybrid virtual environments: seamless interaction contexts for effective virtual reality,"wang, j; lindeman, r",2015,computers & graphics-uk,Article,10.1016/j.cag.2015.02.007
slim near-eye display using pinhole aperture arrays,"aksit, k; kautz, j; luebke, d",2015,applied optics,Article,10.1364/AO.54.003422
affordance judgments in hmd-based virtual environments: stepping over a pole and stepping off a ledge,"lin, qf; rieser, j; bodenheimer, b",2015,acm transactions on applied perception,Article,10.1145/2720020
"interactive cervical motion kinematics: sensitivity, specificity and clinically significant values for identifying kinematic impairments in patients with chronic neck pain","bahat, hs; chen, xq; reznik, d; kodesh, e; treleaven, j",2015,manual therapy,Article,10.1016/j.math.2014.10.002
wave: interactive wave-based sound propagation for virtual environments,"mehra, r; rungta, a; golas, a; lin, m; manocha, d",2015,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2015.2391858
3d finger cape: clicking action and position estimation under self-occlusions in egocentric viewpoint,"jang, y; noh, st; chang, hj; kim, tk; woo, w",2015,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2015.2391860
assessing knowledge retention of an immersive serious game vs. a traditional education method in aviation safety,"chittaro, l; buttussi, f",2015,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2015.2391853
the oculus rift: a cost-effective tool for studying visual-vestibular interactions in self-motion perception,"kim, j; chung, cyl; nakamura, s; palmisano, s; khuu, sk",2015,frontiers in psychology,Article,10.3389/fpsyg.2015.00248
weavr: a self-contained and wearable immersive virtual environment simulation system,"hodgson, e; bachmann, er; vincent, d; zmuda, m; waller, d; calusdian, j",2015,behavior research methods,Article,10.3758/s13428-014-0463-1
eye height manipulations: a possible solution to reduce underestimation of egocentric distances in head-mounted displays,"leyrer, m; linkenauger, sa; bulthoff, hh; mohler, bj",2015,acm transactions on applied perception,Article,10.1145/2699254
the accuracy of the oculus rift virtual reality head-mounted display during cervical spine mobility measurement,"xu, x; chen, krb; lin, jh; radwin, rg",2015,journal of biomechanics,Article,10.1016/j.jbiomech.2015.01.005
virtual reality-based pilot training for underground coal miners,"grabowski, a; jankowski, j",2015,safety science,Article,10.1016/j.ssci.2014.09.017
the content of professional activity as a factor of application efficiency of virtual reality technology,"kovalev, ai; menshikova, gy; klimova, oa; barabanshikova, vv",2015,eksperimentalnaya psikhologiya,Article,10.17759/exppsy.2015080205
usability evaluation of vr interface for mobile robot teleoperation,"jankowski, j; grabowski, a",2015,international journal of human-computer interaction,Article,10.1080/10447318.2015.1039909
testing the mechanisms underlying improved distance judgments in virtual environments,"kunz, br; creem-regehr, sh; thompson, wb",2015,perception,Article,10.1068/p7929
stereoscopic visualization and 3-d technologies in medical endoscopic teleoperation,"livatino, s; de paolis, lt; d'agostino, m; zocco, a; agrimi, a; de santis, a; bruno, lv; lapresa, m",2015,ieee transactions on industrial electronics,Article,10.1109/TIE.2014.2334675
the new dawn of virtual reality in health care: medical simulation and experiential interface,"riva, g; wiederhold, bk",2015,annual review of cybertherapy and telemedicine 2015: virtual reality in healthcare: medical simulation and experiential interface,Article; Book Chapter,10.3233/978-1-61499-595-1-3
"virtual reality for the assessment of frontotemporal dementia, a feasibility study","mendez, mf; joshi, a; jimenez, e",2015,disability and rehabilitation-assistive technology,Article,10.3109/17483107.2014.889230
use of auditory event-related potentials to measure immersion during a computer game,"burns, cg; fairclough, sh",2015,international journal of human-computer studies,Article,10.1016/j.ijhcs.2014.09.002
new wireless connection between user and ve using speech processing,"mirzaei, ma; merienne, f; oliver, jh",2014,virtual reality,Article,10.1007/s10055-014-0248-y
aerial full spherical hdr imaging and display,"okura, f; kanbara, m; yokoya, n",2014,virtual reality,Article,10.1007/s10055-014-0249-x
tomorrow's hospital how technology will be transforming both inpatient and at-home care,"chandler, dl",2014,ieee pulse,Article,10.1109/MPUL.2014.2355298
design of a naturalistic navigational virtual reality using oculus rift,"byagowi, a; singhal, s; lambeta, m; aldaba, c; moussavi, z",2014,journal of medical devices-transactions of the asme,Article; Proceedings Paper,10.1115/1.4027114
an augmented reality home-training system based on the mirror training and imagery approach,"trojan, j; diers, m; fuchs, x; bach, f; bekrater-bodmann, r; foell, j; kamping, s; rance, m; maass, h; flor, h",2014,behavior research methods,Article,10.3758/s13428-013-0412-4
the use of immersive virtual reality (vr) to predict the occurrence 6 months later of paranoid thinking and posttraumatic stress symptoms assessed by self-report and interviewer methods: a study of individuals who have been physically assaulted,"freeman, d; antley, a; ehlers, a; dunn, g; thompson, c; vorontsova, n; garety, p; kuipers, e; glucksman, e; slater, m",2014,psychological assessment,Article,10.1037/a0036240
distance estimation of near-field visual objects in stereoscopic displays,"lin, cj; woldegiorgis, bh; caesaron, d",2014,journal of the society for information display,Article,10.1002/jsid.269
feasibility of articulated arm mounted oculus rift virtual reality goggles for adjunctive pain control during occupational therapy in pediatric burn patients,"hoffman, hg; meyer, wj; ramirez, m; roberts, l; seibel, ej; atzori, b; sharar, sr; patterson, dr",2014,cyberpsychology behavior and social networking,Article,10.1089/cyber.2014.0058
sense of presence and anxiety during virtual social interactions between a human and virtual humans,"morina, n; brinkman, wp; hartanto, d; emmelkamp, pmg",2014,peerj,Article,10.7717/peerj.337
dynamic affordances in embodied interactive systems: the role of display and mode of locomotion,"grechkin, ty; plumert, jm; kearney, jk",2014,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2014.18
virtual reality interface devices in the reorganization of neural networks in the brain of patients with neurological diseases,"gatica-rojas, v; mendez-rebolledo, g",2014,neural regeneration research,Article,10.4103/1673-5374.131612
iview: an interactive webgl visualizer for protein-ligand complex,"li, hj; leung, ks; nakane, t; wong, mh",2014,bmc bioinformatics,Article,10.1186/1471-2105-15-56
testing of visual field with virtual reality goggles in manual and visual grasp modes,"wroblewski, d; francis, ba; sadun, a; vakili, g; chopra, v",2014,biomed research international,Article,10.1155/2014/206082
visual capture and the experience of having two bodies - evidence from two different virtual reality techniques,"heydrich, l; dodds, tj; aspell, je; herbelin, b; bulthoff, hh; mohler, bj; blanke, o",2013,frontiers in psychology,Article,10.3389/fpsyg.2013.00946
cervicocephalic kinaesthesia in subjects with and without peripherally induced pain,"ramsayer, b; honold, m; beck, k; kraus, m; kramer, m; dehner, c",2013,journal of musculoskeletal pain,Article,10.3109/10582452.2013.851760
near-eye light field displays,"lanman, d; luebke, d",2013,acm transactions on graphics,Article; Proceedings Paper,10.1145/2508363.2508366
effects of providing personalized feedback of child's obesity risk on mothers' food choices using a virtual reality buffet,"mcbride, cm; persky, s; wagner, lk; faith, ms; ward, ds",2013,international journal of obesity,Article,10.1038/ijo.2013.87
pshychological influences on distance estimation in a virtual reality environment,"takahashi, k; meilinger, t; watanabe, k; bulthoff, hh",2013,frontiers in human neuroscience,Article,10.3389/fnhum.2013.00580
illusory ownership of a virtual child body causes overestimation of object sizes and implicit attitude changes,"banakou, d; groten, r; slater, m",2013,proceedings of the national academy of sciences of the united states of america,Article,10.1073/pnas.1306779110
altered steering strategies for goal-directed locomotion in stroke,"aburub, as; lamontagne, a",2013,journal of neuroengineering and rehabilitation,Article,10.1186/1743-0003-10-80
"seeing and ""feeling"" architecture: how bodily self-consciousness alters architectonic experience and affects the perception of interiors","pasqualini, i; llobera, j; blanke, o",2013,frontiers in psychology,Article,10.3389/fpsyg.2013.00354
exploiting perceptual limitations and illusions to support walking through virtual environments in confined physical spaces,"bruder, g; steinicke, f; bolte, b; wieland, p; frenz, h; lappe, m",2013,displays,Article,10.1016/j.displa.2012.10.007
validation of the mr simulation approach for evaluating the effects of immersion on visual analysis of volume data,"laha, b; bowman, da; schiffbauer, jd",2013,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2013.43
egocentric distance perception in large screen immersive displays,"piryankova, iv; de la rosa, s; kloos, u; bulthoff, hh; mohler, bj",2013,displays,Article,10.1016/j.displa.2013.01.001
head stabilization shows visual and inertial dependence during passive stimulation: implications for virtual rehabilitation,"wright, wg; agah, mr; darvish, k; keshner, ea",2013,ieee transactions on neural systems and rehabilitation engineering,Article,10.1109/TNSRE.2012.2237040
perceiving affordances in virtual reality: influence of person and environmental properties in perception of standing on virtual grounds,"regia-corte, t; marchal, m; cirio, g; lecuyer, a",2013,virtual reality,Article,10.1007/s10055-012-0216-3
virtual reality for assessment of patients suffering chronic pain: a case study,"llobera, j; gonzalez-franco, m; perez-marcos, d; valls-sole, j; slater, m; sanchez-vives, mv",2013,experimental brain research,Article,10.1007/s00221-012-3352-9
an evaluation of targeting accuracy in immersive first-person shooters comparing different tracking approaches and mapping models,"garcia, as; olivas, a; molina, jp; martinez, j; gonzalez, p; martinez, d",2013,journal of universal computer science,Article,0
development of an augmented reality-oriented game system for stroke rehabilitation assessment,"lee, rg; tien, sc; chen, cc; chen, yy",2012,biomedical engineering-applications basis communications,Article,10.4015/S1016237212500391
extending body space in immersive virtual reality: a very long arm illusion,"kilteni, k; normand, jm; sanchez-vives, mv; slater, m",2012,plos one,Article,10.1371/journal.pone.0040867
interactive visibility retargeting in vr using conformal visualization,"petkov, k; papadopoulos, c; zhang, m; kaufman, ae; gu, xd",2012,ieee transactions on visualization and computer graphics,Article,10.1109/TVCG.2011.278
does pre-exposure inhibit fear context conditioning? a virtual reality study,"troger, c; ewald, h; glotzbach, e; pauli, p; muhlberger, a",2012,journal of neural transmission,Article,10.1007/s00702-011-0757-8
"effects of stereoscopic viewing on presence, anxiety, and cybersickness in a virtual reality environment for public speaking","ling, y; brinkman, wp; nefs, ht; qu, c; heynderickx, i",2012,presence-teleoperators and virtual environments,Article,10.1162/PRES_a_00111
multisensory integration in the estimation of walked distances,"campos, jl; butler, js; bulthoff, hh",2012,experimental brain research,Article,10.1007/s00221-012-3048-1
geometric calibration of head-mounted displays and its effects on distance estimation,"kellner, f; bolte, b; bruder, g; rautenberg, u; steinicke, f; lappe, m; koch, r",2012,ieee transactions on visualization and computer graphics,Article; Proceedings Paper,10.1109/TVCG.2012.45
reinforcement learning utilizes proxemics: an avatar learns to manipulate the position of people in immersive virtual reality,"kastanis, i; slater, m",2012,acm transactions on applied perception,Article,10.1145/2134203.2134206
effects of treadmill training with optic flow on balance and gait in individuals following stroke: randomized controlled trials,"kang, hk; kim, y; chung, y; hwang, s",2012,clinical rehabilitation,Article,10.1177/0269215511419383
full body acting rehearsal in a networked virtual environment-a case study,"normand, jm; spanlang, b; tecchia, f; carrozzino, m; swapp, d; slater, m",2012,presence-teleoperators and virtual environments,Article,10.1162/PRES_a_00089
virtual reality as a tool for evaluation of repetitive rhythmic movements in the elderly and parkinson's disease patients,"arias, p; robles-garcia, v; sanmartin, g; flores, j; cudeiro, j",2012,plos one,Article,10.1371/journal.pone.0030021
"the potential for using 3d visualization for data exploration, error correction and analysis of lidar point clouds","burwell, c; jarvis, c; tansey, k",2012,remote sensing letters,Article,10.1080/01431161.2011.629233
augmented reality applications in design and manufacturing,"nee, ayc; ong, sk; chryssolouris, g; mourtzis, d",2012,cirp annals-manufacturing technology,Article; Proceedings Paper,10.1016/j.cirp.2012.05.010
interactive gaming reduces experimental pain with or without a head mounted display,"gordon, ns; merchant, j; zanbaka, c; hodges, lf; goolkasian, p",2011,computers in human behavior,Article,10.1016/j.chb.2011.06.006
talk to the virtual hands: self-animated avatars improve communication in head-mounted display virtual environments,"dodds, tj; mohler, bj; bulthoff, hh",2011,plos one,Article,10.1371/journal.pone.0025759
comparison of grasping movements made by healthy subjects in a 3-dimensional immersive virtual versus physical environment,"magdalon, ec; michaelsen, sm; quevedo, aa; levin, mf",2011,acta psychologica,Article,10.1016/j.actpsy.2011.05.015
change blindness phenomena for virtual reality display systems,"steinicke, f; bruder, g; hinrichs, k; willemsen, p",2011,ieee transactions on visualization and computer graphics,Article,10.1109/TVCG.2011.41
an automated calibration method for non-see-through head mounted displays,"gilson, sj; fitzgibbon, aw; glennerster, a",2011,journal of neuroscience methods,Article,10.1016/j.jneumeth.2011.05.011
natural perspective projections for head-mounted displays,"steinicke, f; bruder, g; kuhl, s; willemsen, p; lappe, m; hinrichs, kh",2011,ieee transactions on visualization and computer graphics,Article,10.1109/TVCG.2010.248
viewing medium affects arm motor performance in 3d virtual environments,"subramanian, sk; levin, mf",2011,journal of neuroengineering and rehabilitation,Article,10.1186/1743-0003-8-36
a corba-based control architecture for real-time teleoperation tasks in a developmental humanoid robot,"yussof, h; capi, g; nasu, y; yamano, m; ohka, m",2011,international journal of advanced robotic systems,Article,0
depth perception within peripersonal space using head-mounted display,"naceri, a; chellali, r; hoinville, t",2011,presence-teleoperators and virtual environments,Article,10.1162/PRES_a_00048
the effect of landmark and body-based sensory information on route knowledge,"ruddle, ra; volkova, e; mohler, b; bulthoff, hh",2011,memory & cognition,Article,10.3758/s13421-010-0054-z
a low cost flight simulator using virtual reality tools,"yavrucuk, i; kubali, e; tarimci, o",2011,ieee aerospace and electronic systems magazine,Article,10.1109/MAES.2011.5763338
the (human) science of medical virtual learning environments,"stone, rj",2011,philosophical transactions of the royal society b-biological sciences,Article,10.1098/rstb.2010.0209
multisensory stimulation can induce an illusion of larger belly size in immersive virtual reality,"normand, jm; giannopoulos, e; spanlang, b; slater, m",2011,plos one,Article,10.1371/journal.pone.0016128
an augmented reality system for the treatment of phobia to small animals viewed via an optical see-through hmd: comparison with a similar system viewed via a video see-through hmd,"juan, mc; calatrava, j",2011,international journal of human-computer interaction,Article,10.1080/10447318.2011.552059
the effects of higher levels of immersion on procedure memorization performance and implications for educational virtual environments,"ragan, ed; sowndararajan, a; kopper, r; bowman, da",2010,presence-teleoperators and virtual environments,Article,10.1162/pres_a_00016
integrating video-capture virtual reality technology into a physically interactive learning environment for english learning,"yang, jc; chen, ch; jeng, mc",2010,computers & education,Article,10.1016/j.compedu.2010.06.005
virtual-reality distraction and cold-pressor pain tolerance: does avatar point of view matter?,"dahlquist, lm; herbert, lj; weiss, ke; jimeno, m",2010,cyberpsychology behavior and social networking,Article,10.1089/cyber.2009.0263
immersive journalism: immersive virtual reality for the first-person experience of news,"de la pena, n; weil, p; llobera, j; giannopoulos, e; pomes, a; spanlang, b; friedman, d; sanchez-vives, mv; slater, m",2010,presence-teleoperators and virtual environments,Article; Proceedings Paper,10.1162/PRES_a_00005
effects of videogame distraction and a virtual reality type head-mounted display helmet on cold pressor pain in young elementary school-aged children,"dahlquist, lm; weiss, ke; law, ef; sil, s; herbert, lj; horn, sb; wohlheiter, k; ackerman, cs",2010,journal of pediatric psychology,Article,10.1093/jpepsy/jsp082
immiview: a multi-user solution for design review in real-time,"jota, r; de araujo, br; bruno, lc; pereira, jm; jorge, ja",2010,journal of real-time image processing,Article,10.1007/s11554-009-0141-1
controlled interaction: strategies for using virtual reality to study perception,"durgin, fh; li, z",2010,behavior research methods,Article,10.3758/BRM.42.2.414
a gesture control system for intuitive 3d interaction with virtual objects,"manders, c; farbiz, f; yin, tk; yuan, ml; guan, cg",2010,computer animation and virtual worlds,Article; Proceedings Paper,10.1002/cav.324
augmented reality for collaborative product design and development,"shen, y; ong, sk; nee, ayc",2010,design studies,Article,10.1016/j.destud.2009.11.001
increasing the geometric field of view in head mounted displays through proprioceptive task and multimodal feedback for effective close range interaction,"yang, u; kim, gj",2010,behaviour & information technology,Article,10.1080/01449290903160459
development of a computer-based behavioral assessment of checking behavior in obsessive-compulsive disorder,"kim, k; kim, si; cha, kr; park, j; rosenthal, mz; kim, jj; han, k; kim, iy; kim, ch",2010,comprehensive psychiatry,Article,10.1016/j.comppsych.2008.12.001
augmented reality and photogrammetry: a synergy to visualize physical and virtual city environments,"portales, c; lerma, jl; navarro, s",2010,isprs journal of photogrammetry and remote sensing,Article,10.1016/j.isprsjprs.2009.10.001
comparison of near-to-eye displays: subjective experience and comfort,"polonen, m; jarvenpaa, t; hakkinen, j",2010,journal of display technology,Article,10.1109/JDT.2009.2029123
dynamic visual information facilitates object recognition from novel viewpoints,"teramoto, w; riecke, be",2010,journal of vision,Article,10.1167/10.13.11
stereo viewing and virtual reality technologies in mobile robot teleguide,"livatino, s; muscato, g; privitera, f",2009,ieee transactions on robotics,Article,10.1109/TRO.2009.2028765
virtual reality: feasibility of implementation in a regional burn center,"markus, la; willems, ke; maruna, cc; schmitz, cl; pellino, ta; wish, jr; faucher, ld; schurr, mj",2009,burns,Article,10.1016/j.burns.2009.01.013
a 3-d mixed-reality system for stereoscopic visualization of medical dataset,"ferrari, v; megali, g; troia, e; pietrabissa, a; mosca, f",2009,ieee transactions on biomedical engineering,Article,10.1109/TBME.2009.2028013
crushing virtual cigarettes reduces tobacco addiction and treatment discontinuation,"girard, b; turcotte, v; bouchard, s; girard, b",2009,cyberpsychology & behavior,Article,10.1089/cpb.2009.0118
effects of a head-mounted display on the oculomotor system of children,"kozulin, p; ames, sl; mcbrien, na",2009,optometry and vision science,Article,10.1097/OPX.0b013e3181adff42
effects of videogame distraction using a virtual reality type head-mounted display helmet on cold pressor pain in children,"dahlquist, lm; weiss, ke; clendaniel, ld; law, ef; ackerman, cs; mckenna, kd",2009,journal of pediatric psychology,Article,10.1093/jpepsy/jsn023
comparison of the levels of presence and anxiety in an acrophobic environment viewed via hmd or cave,"juan, mc; perez, d",2009,presence-teleoperators and virtual environments,Article,10.1162/pres.18.3.232
kinematics of pointing movements made in a virtual versus a physical 3-dimensional environment in healthy and stroke subjects,"knaut, la; subramanian, sk; mcfadyen, bj; bourbonnais, d; levin, mf",2009,archives of physical medicine and rehabilitation,Article; Proceedings Paper,10.1016/j.apmr.2008.10.030
measurement and analysis of binocular perceptual characteristics with peripheral vision for the development of head mounted display with wide view,"li, xg; cai, c; wu, jl",2009,information-an international interdisciplinary journal,Article,0
cervical motion assessment using virtual reality,"sarig-bahat, h; weiss, pl; laufer, y",2009,spine,Article,10.1097/BRS.0b013e31819b3254
virtual reality enhanced mannequin (vrem) that is well received by resuscitation experts,"semeraro, f; frisoli, a; bergamasco, m; cerchiari, el",2009,resuscitation,Article,10.1016/j.resuscitation.2008.12.016
head-mounted display versus desktop for 3d navigation in virtual reality: a user study,"sousa santos, b; dias, p; pimentel, a; baggerman, jw; ferreira, c; silva, s; madeira, j",2009,multimedia tools and applications,Article,10.1007/s11042-008-0223-2
anxiety provocation and measurement using virtual reality in patients with obsessive-compulsive disorder,"kim, k; kim, ch; cha, kr; park, j; han, k; kim, yk; kim, jj; kim, iy; kim, si",2008,cyberpsychology & behavior,Article,10.1089/cpb.2008.0003
the comparisons of heart rate variability and perceived exertion during simulated cycling with various viewing devices,"huang, sf; tsai, py; sung, wh; lin, cy; chuang, ty",2008,presence-teleoperators and virtual environments,Article,10.1162/pres.17.6.575
teaching mass casualty triage skills using immersive three-dimensional virtual reality,"vincent, ds; sherstyuk, a; burgess, l; connolly, kk",2008,academic emergency medicine,Article,10.1111/j.1553-2712.2008.00191.x
desktop-vr system for preflight 3d navigation training,"aoki, h; oman, cm; buckland, da; natapoff, a",2008,acta astronautica,Article,10.1016/j.actaastro.2007.11.001
the image transceiver device: studies of improved physical design,"david, y; efron, u",2008,sensors,Article,10.3390/s8074350
development and clinical trial of virtual reality-based cognitive assessment in people with stroke: preliminary study,"kang, yj; ku, j; han, k; kim, si; yu, tw; lee, jh; park, ci",2008,cyberpsychology & behavior,Article,10.1089/cpb.2007.0116
"design of a modular and low-latency virtual-environment platform for applications in motor adaptation research, neurological disorders, and neurorehabilitation","myall, dj; macaskill, mr; davidson, pr; anderson, tj; jones, rd",2008,ieee transactions on neural systems and rehabilitation engineering,Article,10.1109/TNSRE.2008.922676
"virtual reality induced symptoms and effects (vrise): comparison of head mounted display (hmd), desktop and projection display systems","sharples, s; cobb, s; moody, a; wilson, jr",2008,displays,Article,10.1016/j.displa.2007.09.005
virtual reality applied to a full simulator of electrical sub-stations,"romero, g; maroto, j; felez, j; cabanellas, jm; martinez, ml; carretero, a",2008,electric power systems research,Article,10.1016/j.epsr.2007.03.014
gait deviations induced by visual stimulation in roll,"schneider, e; jahn, k; dieterich, m; brandt, t; strupp, m",2008,experimental brain research,Article,10.1007/s00221-007-1134-6
do the physical characteristics of a virtual reality device contraindicate its use for balance assessment?,"mihalik, jp; kohli, l; whitton, mc",2008,journal of sport rehabilitation,Article,10.1123/jsr.17.1.38
3d stereo vision system effectiveness for engineering design and graphics education,"pan, cx; smith, s",2008,computer applications in engineering education,Article,10.1002/cae.20145
using virtual environments to assess time-to-contact judgments from pedestrian viewpoints,"seward, ae; ashmead, dh; bodenheimer, b",2007,acm transactions on applied perception,Article,10.1145/1278387.1278392
active and passive distraction using a head-mounted display helmet: effects on cold pressor pain in children,"dahlquist, lm; mckenna, kd; jones, kk; dillinger, l; weiss, ke; ackerman, cs",2007,health psychology,Article,10.1037/0278-6133.26.6.794
the matris project: real-time markerless camera tracking for augmented reality and broadcast applications,"chandaria, j; thomas, ga; stricker, d",2007,journal of real-time image processing,Article,10.1007/s11554-007-0043-z
evaluation of adaptation to visually induced motion sickness based on the maximum cross-correlation between pulse transmission time and heart rate,"sugita, n; yoshizawa, m; abe, m; tanaka, a; watanabe, t; chiba, s; yambe, t; nitta, s",2007,journal of neuroengineering and rehabilitation,Article,10.1186/1743-0003-4-35
virtual-reality-based 3d navigation training for emergency egress from spacecraft,"aoki, h; oman, cm; natapoff, a",2007,aviation space and environmental medicine,Article,0
pain modulation during drives through cold and hot virtual environments,"muhlberger, a; wieser, mj; kenntner-mabiala, r; pauli, p; wiederhold, bk",2007,cyberpsychology & behavior,Article,10.1089/cpb.2007.9996
effects of virtual reality immersion and walking speed on coordination of arm and leg movements,"giphart, je; chou, yh; kim, dh; bortnyk, ct; wagenaar, rc",2007,presence-teleoperators and virtual environments,Article,10.1162/pres.16.4.399
functional similarities in spatial representations between real and virtual environments,"williams, b; narasimham, g; westerman, c; rieser, j; bodenheimer, b",2007,acm transactions on applied perception,Article,10.1145/1265957.1265961
application of human-scale immersive vr system for environmental design assessment - a proposal for an architectural design evaluation tool,"ryu, j; hashimoto, n; sato, m; soeda, m; ohno, r",2007,journal of asian architecture and building engineering,Article,10.3130/jaabe.6.57
evaluation of a low-cost 3d sound system for immersive virtual reality training systems,"doerr, ku; rademacher, h; huesgen, s; kubbat, w",2007,ieee transactions on visualization and computer graphics,Article,10.1109/TVCG.2007.37
seeing size and feeling weight: the size-weight illusion in natural and virtual reality,"heineken, e; schulte, fp",2007,human factors,Article,10.1518/001872007779598028
viewing moving objects in virtual reality can change the dynamics of sensorimotor eeg rhythms,"pfurtscheller, g; scherer, r; leeb, r; keinrath, c; neuper, c; lee, f; bischof, h",2007,presence-teleoperators and virtual environments,Article,10.1162/pres.16.1.111
step frequency and perceived self-motion,"durgin, fh; reed, c; tigue, c",2007,acm transactions on applied perception,Article,10.1145/1227134.1227139
virtual reality: a distraction intervention for chemotherapy,"schneider, sm; hood, le",2007,oncology nursing forum,Article,10.1188/07.ONF.39-46
virtual reality helmet display quality influences the magnitude of virtual reality analgesia,"hoffman, hg; seibel, ej; richards, tl; furness, ta; patterson, dr; sharar, sr",2006,journal of pain,Article,10.1016/j.jpain.2006.04.006
head-mounted displays for clinical virtual reality applications: pitfalls in understanding user behavior while using technology,"simone, lk; schultheis, mt; rebimbas, j; millis, sr",2006,cyberpsychology & behavior,Article,10.1089/cpb.2006.9.591
high sensitivity to multisensory conflicts in agoraphobia exhibited by virtual reality,"viaud-delmon, i; warusfel, o; seguelas, a; rio, e; jouvent, r",2006,european psychiatry,Article,10.1016/j.eurpsy.2004.10.004
super wide field of view head mounted display using catadioptrical optics,"nagahara, h; yagi, y; yachida, m",2006,presence-teleoperators and virtual environments,Article; Proceedings Paper,10.1162/pres.15.5.588
ventriloquism aftereffects occur in the rear hemisphere,"sarlat, l; warusfel, o; viaud-delmon, i",2006,neuroscience letters,Article,10.1016/j.neulet.2006.06.007
using a virtual reality system to study balance and walking in a virtual outdoor environment: a pilot study,"nyberg, l; lundin-olsson, l; sondell, b; backman, a; holmlund, k; eriksson, s; stenvall, m; rosendahl, e; maxhall, m; bucht, g",2006,cyberpsychology & behavior,Article,10.1089/cpb.2006.9.388
