Title,Rank,Impact_Factor,5_Yr_IF,Half_Life,Percentage_Citable,Avg_IF_Percentile
fluid dynamics,11454,0.61,0.589,18.5,100.0,6.801
international food research journal,11454,0.61,,5.9,93.97,11.151
journal of algebra and its applications,11454,0.61,0.601,4.7,100.0,22.066
manuscripta mathematica,11454,0.61,0.573,20.9,100.0,30.093
psychologica belgica,11454,0.61,1.224,8.9,68.18,12.681
earth moon and planets,11459,0.609,0.824,14.2,100.0,7.169
archivos argentinos de pediatria,11460,0.607,0.631,4.9,96.3,5.859
international journal of surface science and engineering,11460,0.607,0.731,5.3,93.75,7.842
journal of nonparametric statistics,11460,0.607,0.881,9.8,100.0,11.694
review of radical political economics,11460,0.607,0.796,10.6,97.22,13.342
social work in public health,11460,0.607,0.871,6.1,97.87,4.753
electronic communications in probability,11465,0.606,0.691,6.8,100.0,10.887
ids bulletin-institute of development studies,11465,0.606,0.758,11.7,100.0,19.037
international journal of number theory,11465,0.606,0.555,5.0,100.0,29.475
journal of aquatic plant management,11465,0.606,0.833,15.8,100.0,12.155
journal of friction and wear,11465,0.606,0.686,5.6,100.0,7.077
zhurnal obshchei biologii,11465,0.606,0.479,14.7,97.3,11.29
journal of cave and karst studies,11471,0.605,0.921,12.0,100.0,5.75
journal of the international phonetic association,11471,0.605,0.71,11.3,100.0,35.027
klinische monatsblatter fur augenheilkunde,11471,0.605,0.617,11.0,82.07,0.833
pragmatics,11471,0.605,0.903,18.3,100.0,35.027
aatcc journal of research,11475,0.604,0.779,3.4,94.87,31.25
herzogia,11475,0.604,0.622,5.3,100.0,13.034
international journal of mathematics,11475,0.604,0.706,8.9,100.0,29.167
international journal of offshore and polar engineering,11475,0.604,0.598,11.6,100.0,8.363
iranian journal of chemistry & chemical engineering-international english edition,11475,0.604,0.715,6.6,98.98,11.843
psikhologicheskii zhurnal,11475,0.604,0.571,8.3,100.0,11.957
world englishes,11475,0.604,0.93,12.8,100.0,33.957
assistenza infermieristica e ricerca,11482,0.603,0.458,3.9,100.0,8.607
assistenza infermieristica e ricerca,11482,0.603,0.458,3.9,100.0,8.607
engenharia agricola,11482,0.603,0.74,6.4,99.07,11.538
folia linguistica,11482,0.603,0.689,11.2,97.14,33.422
technical physics,11482,0.603,0.563,9.6,99.02,3.571
transylvanian review of administrative sciences,11482,0.603,0.812,5.2,96.97,11.458
bulletin of the brazilian mathematical society,11488,0.602,0.515,7.3,100.0,28.858
contemporary problems of ecology,11488,0.602,0.595,5.7,94.67,8.036
journal of biopharmaceutical statistics,11490,0.601,0.817,9.9,98.44,6.985
applicable algebra in engineering communication and computing,11491,0.6,0.621,12.8,100.0,8.557
israel journal of psychiatry and related sciences,11491,0.6,0.805,9.8,93.75,6.143
israel journal of psychiatry and related sciences,11491,0.6,0.805,9.8,93.75,6.143
journal of the american pomological society,11491,0.6,0.411,11.0,,17.544
labor history,11491,0.6,0.685,9.0,95.65,34.706
physics in perspective,11491,0.6,0.559,,88.89,37.723
physics in perspective,11491,0.6,0.559,,88.89,37.723
records of the australian museum,11491,0.6,0.545,28.1,76.92,15.774
gradevinar,11499,0.599,0.689,4.9,64.52,7.09
sensors and materials,11499,0.599,0.559,3.2,98.53,7.561
malawi medical journal,11501,0.598,1.089,7.3,88.37,4.922
schweizer archiv fur tierheilkunde,11501,0.598,0.603,10.0,93.88,29.225
violence and victims,11501,0.598,1.239,12.3,100.0,7.971
biomedica,11504,0.597,0.885,6.9,94.51,15.217
graphs and combinatorics,11504,0.597,0.539,8.3,100.0,28.549
legal studies,11504,0.597,0.725,8.4,97.3,21.753
neurocirugia,11504,0.597,0.532,8.3,84.44,5.098
south african journal of economic and management sciences,11504,0.597,0.707,5.5,100.0,8.417
asian economic papers,11509,0.596,0.754,7.6,100.0,12.803
fetal and pediatric pathology,11509,0.596,0.686,6.1,87.3,6.065
journal of electronic testing-theory and applications,11509,0.596,0.664,6.6,100.0,7.331
journal of cellular automata,11509,0.596,0.685,5.1,100.0,8.879
stochastic models,11509,0.596,0.535,13.7,100.0,9.274
asia pacific journal of social work and development,11514,0.595,0.536,5.4,100.0,3.409
grundwasser,11514,0.595,0.594,7.0,100.0,5.061
journal of functional programming,11514,0.595,0.62,11.7,100.0,6.944
doklady earth sciences,11517,0.594,0.596,8.0,100.0,5.25
revista de estudios sociales,11517,0.594,0.813,6.4,100.0,16.204
environmental history,11519,0.593,0.75,12.9,100.0,34.579
journal of chemical research,11519,0.593,0.578,11.4,100.0,11.582
jundishapur journal of microbiology,11519,0.593,1.406,4.8,97.56,6.296
problems of information transmission,11519,0.593,0.513,33.3,100.0,10.57
china petroleum processing & petrochemical technology,11523,0.592,0.54,5.0,95.0,13.145
digital scholarship in the humanities,11523,0.592,0.583,2.7,98.67,32.888
neurosciences,11523,0.592,0.95,5.9,95.45,2.696
rechtsmedizin,11523,0.592,0.497,6.3,98.18,9.375
strength of materials,11523,0.592,0.568,10.7,100.0,10.606
acta zoologica academiae scientiarum hungaricae,11528,0.591,0.725,21.4,100.0,15.179
archives de pediatrie,11528,0.591,0.435,8.8,80.65,4.297
automation and remote control,11528,0.591,0.534,12.6,97.53,4.706
hydrologie und wasserbewirtschaftung,11528,0.591,0.448,,100.0,5.851
south african journal on human rights,11528,0.591,0.458,12.7,100.0,21.104
compel-the international journal for computation and mathematics in electrical and electronic engineering,11533,0.59,0.528,6.6,100.0,7.072
journal of plant registrations,11533,0.59,0.798,6.6,100.0,14.27
diplomatic history,11535,0.589,0.766,10.9,100.0,64.5
international journal of clothing science and technology,11535,0.589,0.774,9.0,100.0,27.083
journal of chemical crystallography,11535,0.589,0.514,10.9,100.0,7.784
acta mathematica hungarica,11538,0.588,0.579,16.7,100.0,28.241
arthropoda selecta,11538,0.588,,7.6,100.0,18.317
annali italiani di chirurgia,11538,0.588,0.721,6.4,92.47,5.476
gospodarka surowcami mineralnymi-mineral resources management,11538,0.588,0.617,8.1,100.0,8.452
new zealand entomologist,11538,0.588,0.596,18.2,100.0,18.317
veterinarni medicina,11538,0.588,0.749,9.0,94.52,28.521
canadian journal of political science-revue canadienne de science politique,11544,0.587,0.723,13.1,97.73,15.278
journal of african cultural studies,11544,0.587,1.059,4.6,100.0,50.0
american fern journal,11546,0.586,0.542,18.5,100.0,12.179
archives of metallurgy and materials,11546,0.586,0.684,4.8,100.0,15.823
african journal of library archives and information science,11546,0.586,0.597,,100.0,18.966
archives of clinical psychiatry,11546,0.586,0.757,8.8,92.59,4.194
bulletin of latin american research,11546,0.586,0.76,10.9,100.0,33.117
chinese annals of mathematics series b,11546,0.586,0.516,9.7,100.0,27.932
journal of applied economics,11546,0.586,0.833,10.6,96.3,12.534
journal of mental health policy and economics,11546,0.586,1.135,12.0,100.0,4.806
mathematical population studies,11546,0.586,0.507,13.6,90.91,8.483
mathematical population studies,11546,0.586,0.507,13.6,90.91,8.483
pathologe,11546,0.586,0.631,7.5,100.0,5.769
radiophysics and quantum electronics,11546,0.586,0.669,11.5,100.0,4.638
science and technology of energetic materials,11546,0.586,0.482,6.7,100.0,7.631
acta biologica hungarica,11559,0.585,0.796,8.8,,10.215
invertebrate reproduction & development,11559,0.585,0.85,15.7,100.0,8.154
russian journal of nondestructive testing,11559,0.585,0.554,7.8,100.0,7.576
revista mexicana de biodiversidad,11559,0.585,0.971,5.9,98.17,12.712
geometriae dedicata,11563,0.584,0.671,13.8,100.0,27.623
waterbirds,11563,0.584,0.69,11.1,100.0,26.786
brazilian journal of oceanography,11565,0.583,1.071,8.3,100.0,7.604
british journal of music education,11565,0.583,0.767,12.8,89.47,9.696
english world-wide,11565,0.583,0.607,11.4,100.0,32.353
journal of the professional association for cactus development,11565,0.583,0.531,13.8,75.0,15.278
libri,11565,0.583,0.488,10.2,100.0,17.816
praehistorische zeitschrift,11565,0.583,0.639,8.8,100.0,28.333
qme-quantitative marketing and economics,11565,0.583,1.345,10.6,100.0,8.24
zoosystema,11565,0.583,0.667,12.4,94.12,13.988
anziam journal,11573,0.581,0.683,9.9,100.0,12.5
canadian journal of criminology and criminal justice,11573,0.581,0.825,12.7,100.0,6.522
condensed matter physics,11573,0.581,0.578,8.0,100.0,5.072
gaceta medica de mexico,11573,0.581,0.515,5.8,76.77,14.848
mammal study,11573,0.581,0.693,8.0,96.77,13.393
revista de historia economica,11573,0.581,0.711,13.9,100.0,42.322
international journal of cognitive therapy,11579,0.58,1.831,7.6,100.0,8.167
transactions of famena,11579,0.58,0.706,4.0,100.0,5.83
tm-technisches messen,11579,0.58,0.499,4.3,97.0,5.469
acta physica polonica a,11582,0.579,0.548,5.6,99.55,8.824
arkiv for matematik,11582,0.579,0.865,35.6,100.0,27.315
brazilian archives of biology and technology,11582,0.579,1.046,9.7,95.62,9.14
bsgf-earth sciences bulletin,11582,0.579,0.579,,92.86,4.75
dynamis,11582,0.579,0.516,11.6,100.0,35.888
dynamis,11582,0.579,0.516,11.6,100.0,35.888
fruits,11582,0.579,1.054,9.4,93.33,12.5
asia-pacific journal of financial studies,11589,0.578,0.646,5.9,96.67,6.944
drewno,11589,0.578,0.764,4.4,100.0,26.19
estudios geologicos-madrid,11591,0.577,0.612,14.4,100.0,9.574
journal of applied probability,11591,0.577,0.735,24.5,100.0,7.661
journal of economic issues,11591,0.577,0.795,13.5,98.68,11.725
journal of latin american and caribbean anthropology,11591,0.577,,5.7,100.0,27.222
chemical journal of chinese universities-chinese,11595,0.576,0.43,6.1,99.42,11.017
icsid review-foreign investment law journal,11595,0.576,,5.7,100.0,20.455
order-a journal on the theory of ordered sets and its applications,11595,0.576,0.568,14.1,100.0,27.006
ochrona srodowiska,11595,0.576,0.512,8.0,100.0,2.83
revista iberoamericana de diagnostico y evaluacion-e avaliacao psicologica,11595,0.576,0.619,4.6,94.74,9.542
russian journal of non-ferrous metals,11595,0.576,0.559,5.0,99.0,14.557
science in context,11595,0.576,0.65,15.8,100.0,34.053
science in context,11595,0.576,0.65,15.8,100.0,34.053
geography,11603,0.575,0.97,17.4,100.0,6.548
annales botanici fennici,11604,0.574,0.648,12.8,97.96,11.752
childrens health care,11604,0.574,0.68,11.3,88.89,3.235
ieice transactions on electronics,11604,0.574,0.485,8.5,99.19,6.203
wilson journal of ornithology,11604,0.574,0.636,7.4,98.99,23.214
journal of the pakistan medical association,11608,0.573,0.696,7.7,89.21,8.389
journal of the torrey botanical society,11608,0.573,0.753,12.7,100.0,11.325
transactions of the canadian society for mechanical engineering,11608,0.573,0.456,7.0,98.21,5.0
cartographic journal,11611,0.571,1.246,10.3,100.0,5.357
cement wapno beton,11611,0.571,0.512,6.1,100.0,8.837
interpreting,11611,0.571,0.804,12.0,100.0,31.818
maydica,11611,0.571,0.66,14.0,93.75,12.866
revista mexicana de psicologia,11611,0.571,0.57,10.9,100.0,11.232
turkiye entomoloji dergisi-turkish journal of entomology,11611,0.571,0.694,7.2,100.0,16.337
acta ortopedica brasileira,11617,0.57,0.735,6.2,90.32,4.268
deutsche medizinische wochenschrift,11618,0.569,0.463,12.4,96.26,13.636
sequential analysis-design methods and applications,11619,0.567,0.586,12.1,100.0,6.855
travail humain,11619,0.567,0.987,10.3,91.67,5.533
travail humain,11619,0.567,0.987,10.3,91.67,5.533
acta veterinaria brno,11622,0.566,0.658,11.0,93.33,27.817
computational mathematics and mathematical physics,11623,0.565,0.584,23.1,100.0,9.24
international journal of game theory,11623,0.565,0.618,21.8,100.0,7.37
international journal of game theory,11623,0.565,0.618,21.8,100.0,7.37
journal of competition law & economics,11623,0.565,0.671,7.1,75.0,15.63
revija za kriminalistiko in kriminologijo,11623,0.565,0.57,19.4,100.0,5.072
serbian astronomical journal,11623,0.565,0.969,7.2,81.82,6.618
translator,11623,0.565,0.827,11.6,100.0,19.174
american journal of family therapy,11630,0.564,0.833,13.6,95.45,10.24
current topics in nutraceutical research,11630,0.564,0.61,6.4,98.53,5.973
fish pathology,11630,0.564,0.582,20.7,100.0,20.632
glasnik matematicki,11630,0.564,0.521,14.0,100.0,19.214
ocean development and international law,11630,0.564,0.63,10.2,100.0,17.736
bradleya,11635,0.563,0.439,7.9,100.0,10.47
itea-informacion tecnica economica agraria,11635,0.563,0.488,6.5,83.33,15.201
journal of comparative germanic linguistics,11635,0.563,0.892,10.3,100.0,30.749
journal of exotic pet medicine,11635,0.563,0.615,7.4,95.41,26.408
revue scientifique et technique-office international des epizooties,11635,0.563,1.371,13.4,100.0,26.408
history and anthropology,11640,0.562,,4.4,100.0,44.306
pakistan journal of pharmaceutical sciences,11640,0.562,0.704,5.0,97.26,3.148
revista de neurologia,11640,0.562,0.589,9.7,76.98,2.206
herpetological journal,11643,0.561,1.023,12.4,95.0,12.798
indian journal of surgery,11643,0.561,0.726,5.4,86.92,5.0
southwestern entomologist,11643,0.561,0.581,8.1,100.0,15.347
bioagro,11646,0.56,,6.8,100.0,12.637
concepts in magnetic resonance part a,11646,0.56,0.977,10.6,100.0,3.333
ekonomicky casopis,11646,0.56,0.579,5.3,100.0,10.916
journal of cytology,11646,0.56,0.711,6.0,94.44,12.069
archive for history of exact sciences,11650,0.559,0.506,21.7,100.0,23.304
crustaceana,11650,0.559,0.695,17.0,99.01,8.962
american malacological bulletin,11652,0.558,0.959,10.7,100.0,10.111
main group metal chemistry,11652,0.558,0.534,13.9,100.0,3.626
perspectives-studies in translation theory and practice,11652,0.558,0.813,6.4,98.11,30.214
gastroenterology nursing,11655,0.557,0.858,7.6,87.8,5.381
gastroenterology nursing,11655,0.557,0.858,7.6,87.8,5.381
integrated ferroelectrics,11655,0.557,0.556,7.3,100.0,3.908
russian journal of ecology,11655,0.557,0.648,10.2,100.0,7.44
theoretical foundations of chemical engineering,11655,0.557,0.623,6.8,99.25,9.441
acta protozoologica,11660,0.556,0.792,13.7,100.0,5.556
boletim do instituto de pesca,11660,0.556,0.679,8.1,100.0,11.936
ciencia rural,11660,0.556,0.731,8.2,100.0,11.538
communications in algebra,11660,0.556,0.542,13.0,100.0,26.389
differential geometry and its applications,11660,0.556,0.702,8.6,100.0,18.868
ethik in der medizin,11660,0.556,0.505,6.8,100.0,9.375
ferroelectrics letters section,11660,0.556,0.662,29.5,100.0,2.174
fundamenta mathematicae,11660,0.556,0.652,47.7,100.0,26.389
infinite dimensional analysis quantum probability and related topics,11660,0.556,0.61,17.5,96.67,6.019
invertebrate neuroscience,11660,0.556,0.836,11.7,91.67,3.875
journal of the korean statistical society,11660,0.556,0.62,6.4,95.65,5.242
nagoya mathematical journal,11660,0.556,0.63,30.3,100.0,26.389
phi delta kappan,11660,0.556,0.486,15.1,100.0,9.316
water resources,11660,0.556,0.656,7.4,100.0,4.787
zeitschrift fur arbeits-und organisationspsychologie,11660,0.556,0.623,13.2,100.0,4.167
human studies,11675,0.554,0.813,18.9,100.0,16.379
indian journal of genetics and plant breeding,11675,0.554,0.492,11.2,100.0,10.043
irish educational studies,11675,0.554,0.774,7.2,96.67,8.935
journal of australian studies,11675,0.554,0.419,15.4,100.0,47.032
notre dame journal of formal logic,11675,0.554,0.503,23.6,100.0,28.053
electromagnetics,11680,0.553,0.496,11.4,100.0,5.451
food science and technology research,11680,0.553,0.749,8.8,96.08,10.432
fresenius environmental bulletin,11680,0.553,0.521,4.5,99.19,2.83
hispania-a journal devoted to the teaching of spanish and portuguese,11680,0.553,0.402,10.0,100.0,29.679
journal of medical primatology,11680,0.553,0.655,10.8,96.23,18.006
applied categorical structures,11685,0.552,0.627,8.4,100.0,24.846
turkish journal of veterinary & animal sciences,11685,0.552,0.599,11.6,99.07,24.296
south african journal of surgery,11687,0.551,0.537,8.0,96.61,4.524
acta endocrinologica-bucharest,11688,0.55,0.508,4.4,98.39,4.545
economist-netherlands,11688,0.55,0.878,10.5,100.0,10.647
hacienda publica espanola-review of public economics,11688,0.55,0.604,9.3,100.0,10.647
international journal of lexicography,11688,0.55,0.841,14.3,100.0,29.144
image analysis & stereology,11688,0.55,1.226,8.4,100.0,7.235
international journal of sport finance,11688,0.55,1.05,8.3,100.0,2.679
journal of the palaeontological society of india,11688,0.55,0.653,14.8,100.0,2.727
zeitschrift der deutschen gesellschaft fur geowissenschaften,11688,0.55,0.726,7.2,94.74,4.25
asian perspective,11696,0.549,0.802,7.4,100.0,15.263
atlantic geology,11697,0.548,0.603,15.4,100.0,7.447
doklady mathematics,11697,0.548,0.405,7.1,100.0,24.537
glasgow mathematical journal,11697,0.548,0.487,18.8,100.0,24.537
metallurgia italiana,11700,0.546,0.484,5.6,100.0,13.291
functions of language,11701,0.545,0.945,10.6,100.0,28.61
glass and ceramics,11701,0.545,0.421,10.3,92.63,12.5
journal of latin american studies,11701,0.545,0.885,14.6,100.0,30.519
mitteilungen klosterneuburg,11701,0.545,0.331,,100.0,9.717
northwest science,11701,0.545,0.727,17.5,100.0,6.845
applications of mathematics,11706,0.544,0.652,8.9,100.0,10.192
moscow mathematical journal,11706,0.544,0.824,11.6,100.0,17.056
russian journal of physical chemistry b,11706,0.544,0.517,4.8,100.0,1.351
columbia journal of transnational law,11709,0.543,1.035,12.8,100.0,16.359
east european politics and societies,11709,0.543,0.772,8.6,100.0,21.972
frequenz,11709,0.543,0.489,5.3,97.87,5.075
journal of business-to-business marketing,11709,0.543,1.141,10.2,100.0,4.934
journal of volcanology and seismology,11709,0.543,0.681,9.5,100.0,5.294
patterns of prejudice,11709,0.543,1.295,10.5,100.0,12.5
australian & new zealand journal of statistics,11715,0.542,0.77,13.6,95.24,3.629
asian journal of mathematics,11715,0.542,0.796,12.5,100.0,16.517
australasian emergency care,11715,0.542,0.542,,91.67,9.484
australasian emergency care,11715,0.542,0.542,,91.67,9.484
bulletin of the australian mathematical society,11715,0.542,0.592,17.0,100.0,23.611
folia zoologica,11715,0.542,0.805,12.7,95.83,10.417
revista romana de materiale-romanian journal of materials,11715,0.542,0.478,3.6,100.0,7.786
algebras and representation theory,11722,0.541,0.647,6.3,100.0,22.994
ciencias marinas,11722,0.541,1.0,12.1,100.0,7.075
earth sciences research journal,11722,0.541,0.896,5.5,100.0,3.75
german history,11722,0.541,0.589,10.0,90.48,60.5
journal of information science and engineering,11722,0.541,0.519,7.5,100.0,2.885
mikrobiyoloji bulteni,11722,0.541,0.803,6.8,100.0,4.815
radioprotection,11722,0.541,0.437,8.5,100.0,5.869
solid fuel chemistry,11722,0.541,0.597,6.7,98.0,7.737
international journal of environment and pollution,11730,0.54,0.633,11.4,100.0,2.075
journal of the south african institution of civil engineering,11730,0.54,0.593,6.2,100.0,6.343
oral radiology,11730,0.54,0.481,5.8,90.63,2.747
scottish journal of political economy,11730,0.54,0.608,15.0,100.0,12.137
seminars in roentgenology,11730,0.54,0.534,10.8,93.75,2.632
heroin addiction and related clinical problems,11735,0.538,0.497,5.2,87.88,1.389
journal of computer and systems sciences international,11735,0.538,0.49,7.3,100.0,4.175
journal of mathematical sociology,11735,0.538,1.529,25.5,100.0,7.043
journal of mathematical sociology,11735,0.538,1.529,25.5,100.0,7.043
journal of south asian development,11735,0.538,0.879,5.5,100.0,1.22
journal of the mexican chemical society,11735,0.538,0.947,6.9,100.0,9.887
lasers in engineering,11735,0.538,0.392,4.4,100.0,5.303
mycotaxon,11735,0.538,0.691,11.5,100.0,1.724
moscow university physics bulletin,11735,0.538,0.427,5.3,90.54,7.647
northeastern naturalist,11735,0.538,0.658,9.0,100.0,8.633
pharmaceutical chemistry journal,11735,0.538,0.565,10.7,97.08,2.618
geriatrie et psychologie neuropsychiatrie de vieillissement,11746,0.537,0.429,4.6,94.12,5.346
indian journal of biochemistry & biophysics,11746,0.537,0.699,12.4,95.0,3.192
journal of homotopy and related structures,11746,0.537,0.549,4.6,100.0,22.685
journal of vibration engineering & technologies,11746,0.537,0.649,3.7,96.67,4.873
scottish medical journal,11746,0.537,0.592,13.7,96.67,13.03
studia psychologica,11746,0.537,0.723,9.1,100.0,10.507
anthropologie,11752,0.536,0.857,29.0,100.0,25.0
international journal of tropical insect science,11752,0.536,0.748,8.6,92.68,14.356
sotsiologicheskie issledovaniya,11752,0.536,0.467,7.3,100.0,12.333
colloquium mathematicum,11755,0.535,0.531,18.8,100.0,22.377
journal of entomological science,11755,0.535,0.654,14.2,97.14,13.366
journal of the korean physical society,11755,0.535,0.488,7.7,96.63,6.471
cybium,11758,0.534,0.684,14.1,100.0,9.821
national medical journal of india,11758,0.534,0.774,11.2,94.74,12.424
austrian journal of earth sciences,11760,0.533,0.867,7.6,90.91,3.25
ciencia e investigacion agraria,11760,0.533,0.62,8.1,93.33,26.724
folia biologica-krakow,11760,0.533,0.745,8.4,100.0,8.065
global economic review,11760,0.533,1.009,6.0,100.0,9.838
journal of employment counseling,11760,0.533,1.178,9.5,100.0,2.976
jokull,11760,0.533,0.471,12.9,,3.25
journal of early modern history,11760,0.533,0.865,6.9,100.0,59.5
studies in nonlinear dynamics and econometrics,11760,0.533,0.705,13.2,100.0,5.409
zeitschrift fur sprachwissenschaft,11760,0.533,0.703,10.7,100.0,28.075
acta clinica croatica,11769,0.532,0.607,5.3,78.26,11.818
international review of social history,11769,0.532,0.598,14.3,80.77,58.5
international journal of nanotechnology,11769,0.532,0.455,7.5,100.0,2.552
journal of pseudo-differential operators and applications,11769,0.532,0.561,4.4,100.0,15.553
american bankruptcy law journal,11773,0.531,0.354,11.2,100.0,17.857
anasthesiologie intensivmedizin notfallmedizin schmerztherapie,11773,0.531,0.353,9.6,100.0,1.476
legume research,11773,0.531,0.491,3.8,97.14,10.44
revista medica de chile,11773,0.531,0.631,8.6,88.38,11.212
topology and its applications,11773,0.531,0.521,9.7,100.0,15.207
journal of cosmetic science,11778,0.53,0.624,12.5,95.65,7.855
advances in strategic management-a research annual,11779,0.528,0.983,12.1,,3.319
analysis mathematica,11780,0.527,0.5,14.2,100.0,21.451
bangladesh journal of plant taxonomy,11780,0.527,0.56,6.4,100.0,9.615
estudios de psicologia,11780,0.527,0.49,7.1,85.19,9.783
journal of convex analysis,11780,0.527,0.624,10.2,100.0,21.451
revista mexicana de fisica,11780,0.527,0.552,9.5,96.59,5.294
hemoglobin,11785,0.526,0.732,9.1,97.06,2.249
himalayan geology,11785,0.526,0.602,15.7,100.0,5.319
iheringia serie zoologia,11785,0.526,0.583,10.4,100.0,9.226
journal of community health nursing,11785,0.526,0.876,9.9,100.0,6.148
journal of community health nursing,11785,0.526,0.876,9.9,100.0,6.148
oceania,11785,0.526,0.519,18.6,100.0,23.889
paedagogica historica,11785,0.526,0.455,9.9,100.0,28.542
american surgeon,11792,0.525,0.689,10.7,98.11,4.048
current herpetology,11792,0.525,,8.3,100.0,8.631
international journal of diabetes in developing countries,11792,0.525,0.511,6.6,93.46,3.846
journal of black studies,11792,0.525,0.649,11.7,100.0,13.241
psychoanalytic study of the child,11792,0.525,0.352,45.6,100.0,65.385
horticultura brasileira,11797,0.523,0.724,9.1,98.51,6.944
international journal of foundations of computer science,11797,0.523,0.622,8.5,100.0,6.019
international journal of group psychotherapy,11797,0.523,0.521,11.2,82.61,8.015
tropical doctor,11797,0.523,0.545,11.0,92.22,7.378
visual communication,11797,0.523,1.027,11.3,100.0,5.978
dynamic systems and applications,11802,0.522,0.473,9.2,100.0,14.551
historia y politica,11802,0.522,0.664,8.3,91.3,35.556
mechanical engineering,11802,0.522,0.54,35.4,100.0,3.462
new york journal of mathematics,11802,0.522,0.656,6.8,100.0,20.833
revista de la union matematica argentina,11802,0.522,0.567,8.2,100.0,14.551
clinical dysmorphology,11807,0.521,0.468,12.0,87.23,4.237
indian journal of engineering and materials sciences,11807,0.521,0.794,8.7,100.0,6.271
polymer-korea,11807,0.521,0.412,4.8,100.0,8.427
revista internacional de contaminacion ambiental,11807,0.521,0.587,6.0,99.16,1.698
australian aboriginal studies,11811,0.52,0.514,10.6,100.0,22.778
child & family behavior therapy,11811,0.52,0.942,13.7,100.0,8.413
revista chilena de infectologia,11811,0.52,0.64,6.2,92.05,3.763
adansonia,11814,0.519,0.429,15.2,100.0,9.188
artery research,11814,0.519,,6.3,88.0,0.769
kuwait journal of science,11814,0.519,0.826,3.8,100.0,16.197
revista de psicologia social,11814,0.519,0.684,8.4,100.0,3.906
archiv der mathematik,11818,0.518,0.596,19.0,100.0,19.907
rethinking history,11818,0.518,0.595,9.3,100.0,56.5
ukrainian mathematical journal,11818,0.518,0.405,12.1,100.0,13.704
advanced composites letters,11821,0.517,0.645,8.3,100.0,1.923
archive for the psychology of religion-archiv fur religionspsychologie,11821,0.517,0.775,7.6,93.75,9.058
journal of advanced mechanical design systems and manufacturing,11821,0.517,0.598,5.7,100.0,3.846
portugaliae mathematica,11821,0.517,0.65,18.7,100.0,13.203
universitas psychologica,11821,0.517,0.606,6.4,100.0,9.058
formal aspects of computing,11826,0.516,0.647,7.8,100.0,6.019
indian journal of pure & applied mathematics,11826,0.516,0.571,21.9,100.0,18.981
polish journal of veterinary sciences,11826,0.516,0.819,6.0,100.0,23.592
revue de medecine veterinaire,11826,0.516,0.575,12.5,100.0,23.592
bulletin of the belgian mathematical society-simon stevin,11830,0.515,0.553,9.1,100.0,18.673
esaim-probability and statistics,11830,0.515,0.766,9.4,100.0,2.823
journal of korean academy of nursing,11830,0.515,0.781,7.4,93.94,5.328
journal of korean academy of nursing,11830,0.515,0.781,7.4,93.94,5.328
international journal of feminist approaches to bioethics,11834,0.514,0.571,7.7,100.0,15.387
journal for the history of astronomy,11834,0.514,0.416,17.2,100.0,38.889
journal of superhard materials,11834,0.514,0.577,7.6,98.15,3.981
travail genre et societes,11834,0.514,0.351,10.4,100.0,20.694
anthropological quarterly,11838,0.513,1.107,11.6,94.59,21.667
intersecciones en antropologia,11838,0.513,0.763,6.5,100.0,21.667
journal of hard tissue biology,11838,0.513,0.515,4.5,100.0,1.724
acta paulista de enfermagem,11841,0.512,0.777,7.0,82.22,4.508
acta paulista de enfermagem,11841,0.512,0.777,7.0,82.22,4.508
international journal of algebra and computation,11841,0.512,0.576,9.8,100.0,18.364
molecular crystals and liquid crystals,11841,0.512,0.472,14.8,100.0,6.251
nephrology nursing journal,11841,0.512,0.622,9.4,88.57,5.163
nephrology nursing journal,11841,0.512,0.622,9.4,88.57,5.163
proceedings of the edinburgh mathematical society,11841,0.512,0.62,17.0,100.0,18.364
russian journal of developmental biology,11841,0.512,0.502,8.9,81.25,1.22
wulfenia,11841,0.512,1.0,4.9,100.0,8.761
zeitschrift fur psychiatrie psychologie und psychotherapie,11841,0.512,0.397,8.4,90.48,6.489
journal of biomaterials and tissue engineering,11851,0.511,0.526,3.9,98.42,1.724
folia phoniatrica et logopaedica,11852,0.51,0.723,12.6,93.1,3.875
folia phoniatrica et logopaedica,11852,0.51,0.723,12.6,93.1,3.875
historia critica,11854,0.509,0.467,7.1,100.0,55.5
international journal of aeronautical and space sciences,11854,0.509,0.628,4.8,100.0,8.065
international journal of transport economics,11854,0.509,0.419,11.9,100.0,5.325
revista brasileira de politica internacional,11854,0.509,0.817,7.5,100.0,13.107
tropical biomedicine,11854,0.509,0.65,7.6,98.18,6.466
panoeconomicus,11859,0.508,0.657,5.6,100.0,9.03
revista argentina de clinica psicologica,11859,0.508,0.599,5.3,92.98,5.785
revista argentina de clinica psicologica,11859,0.508,0.599,5.3,92.98,5.785
annals of combinatorics,11862,0.507,0.591,11.9,100.0,6.731
progress in computational fluid dynamics,11862,0.507,0.554,7.8,100.0,6.078
food hygiene and safety science,11864,0.506,0.485,5.4,96.15,8.993
review of industrial organization,11865,0.505,0.781,14.1,96.55,5.818
tropical journal of pharmaceutical research,11866,0.504,0.701,5.8,95.86,2.407
annales de biologie clinique,11867,0.503,0.398,9.0,87.5,5.216
mathematical research letters,11867,0.503,0.72,13.0,100.0,17.747
indian journal of pharmaceutical education and research,11869,0.501,0.515,3.6,83.83,2.848
aatcc review,11870,0.5,0.268,13.4,100.0,13.371
